Year,EV_Stock,Eligible_EVs,Usable_Energy_per_EV_kWh,Average_Daily_Spread_EUR_per_kWh,Average_Charge_Price_EUR_per_kWh,Average_Discharge_Price_EUR_per_kWh,Average_Availability_Rate,Station_CAPEX_per_Unit_EUR,Annualized_CAPEX_per_Unit_EUR,Annual_Metering_per_Unit_EUR,Annual_Cost_per_Unit_EUR,Previous_Station_Count,New_Stations_Added,Station_Count,Incremental_Annual_Cost_EUR,Annual_Income_EUR,Annual_Cost_EUR,Annual_Profit_EUR,Annual_Profit_per_EV_EUR,Surplus_per_kWh_EUR_Cent
2021,"28,301","20,377",33.0139,0.0533,0.0876,0.1398,0.7860,"4,350",435,30,465,0,"20,377","20,377","9,475,175","10,321,476","9,475,175","846,301",42,0
2022,"41,815","30,107",33.0139,0.1204,0.2183,0.3374,0.7849,"4,053",405,30,435,"20,377","9,730","30,107","4,235,288","34,547,877","13,710,462","20,837,415",692,1
2023,"55,858","40,218",33.0139,0.0586,0.0867,0.1428,0.7849,"3,756",376,30,406,"30,107","10,111","40,218","4,100,556","20,519,737","17,811,018","2,708,719",67,0
2024,"82,802","59,617",33.0139,0.0939,0.0786,0.1666,0.7863,"3,458",346,30,376,"40,218","19,400","59,617","7,291,046","49,712,719","25,102,065","24,610,655",413,1
2025,"114,234","82,248",33.0139,0.0695,0.0950,0.1605,0.7860,"3,161",316,30,346,"59,617","22,631","82,248","7,832,854","45,371,011","32,934,919","12,436,092",151,0
2026,"146,464","105,454",33.0139,0.0654,0.0916,0.1529,0.7860,"2,864",286,30,316,"82,248","23,206","105,454","7,341,994","54,543,810","40,276,913","14,266,896",135,0
2027,"178,538","128,547",33.0139,0.0624,0.0919,0.1509,0.7860,"2,567",257,30,287,"105,454","23,093","128,547","6,620,074","65,181,615","46,896,987","18,284,628",142,0
2028,"206,642","148,782",33.0139,0.0616,0.0917,0.1500,0.7842,"2,269",227,30,257,"128,547","20,235","148,782","5,199,240","74,561,219","52,096,227","22,464,992",151,0
2029,"229,033","164,904",33.0139,0.0618,0.0916,0.1508,0.7860,"1,972",197,30,227,"148,782","16,122","164,904","3,663,168","82,296,446","55,759,394","26,537,051",161,0
2030,"245,557","176,801",33.0139,0.0632,0.0918,0.1513,0.7860,"1,675",168,30,198,"164,904","11,897","176,801","2,349,713","88,515,339","58,109,107","30,406,231",172,0
