hour,Price
0,0.09428553424657535
1,0.0853190410958904
2,0.07974772602739726
3,0.07638627397260274
4,0.07960361643835616
5,0.09064328767123288
6,0.10926498630136987
7,0.12785350684931507
8,0.13252098630136985
9,0.12704739726027398
10,0.120093698630137
11,0.11803753424657534
12,0.11572890410958904
13,0.11141575342465754
14,0.11209824657534247
15,0.11814019178082191
16,0.1273371506849315
17,0.13728698630136985
18,0.14516287671232878
19,0.14748353424657534
20,0.13920372602739725
21,0.12396991780821918
22,0.1158201095890411
23,0.09813098630136986
