is_weekend,hour,Price
False,0,0.09490325670498084
False,1,0.0870335632183908
False,2,0.08100333333333333
False,3,0.07813766283524905
False,4,0.08230494252873563
False,5,0.09691440613026821
False,6,0.12046773946360154
False,7,0.14239022988505745
False,8,0.14707333333333333
False,9,0.13899854406130266
False,10,0.13037639846743293
False,11,0.12755823754789272
False,12,0.1255763601532567
False,13,0.12241145593869732
False,14,0.12326386973180076
False,15,0.1298193103448276
False,16,0.1378183141762452
False,17,0.14665570881226056
False,18,0.15265463601532567
False,19,0.15415877394636013
False,20,0.14396896551724137
False,21,0.12693639846743296
False,22,0.11971716475095785
False,23,0.10161467432950191
True,0,0.09273528846153846
True,1,0.08101625
True,2,0.07659663461538462
True,3,0.07199096153846155
True,4,0.07282432692307693
True,5,0.07490519230769231
True,6,0.08115038461538462
True,7,0.09137192307692307
True,8,0.0960001923076923
True,9,0.09705461538461538
True,10,0.09428807692307693
True,11,0.09414423076923077
True,12,0.09101557692307692
True,13,0.08382076923076923
True,14,0.08407682692307693
True,15,0.08883009615384616
True,16,0.10103346153846153
True,17,0.11377509615384616
True,18,0.1263614423076923
True,19,0.13073125
True,20,0.1272448076923077
True,21,0.1165251923076923
True,22,0.10604
True,23,0.08938826923076923
