date,day_type,daily_avg_price,avg_discharge_price,discharge_hours_count,avg_charge_price,charge_hours_count,spread
2021-02-01,workday,0.05485041666666666,0.064952,5,0.04844333333333334,9,0.016508666666666658
2021-02-02,workday,0.05677374999999999,0.06352,2,0.036521111111111115,9,0.026998888888888878
2021-02-03,workday,0.047446666666666665,0.05321666666666667,3,0.03329555555555556,9,0.01992111111111111
2021-02-04,workday,0.04891375,0.057623999999999995,5,0.04214999999999999,8,0.015474000000000002
2021-02-05,workday,0.051917500000000005,0.056606666666666666,3,0.03627428571428572,7,0.02033238095238095
2021-02-06,weekend,0.04287291666666667,0.05147,2,0.005336250000000001,8,0.04613375
2021-02-07,weekend,0.023986666666666667,0.03759333333333333,6,0.02513,9,0.012463333333333333
2021-02-08,workday,0.048167499999999995,0.058055999999999996,5,0.049368888888888886,9,0.0
2021-02-09,workday,0.06437875,0.07270333333333333,3,0.05076111111111111,9,0.021942222222222217
2021-02-10,workday,0.06719291666666666,0.07704666666666667,3,0.05199555555555556,9,0.025051111111111107
2021-02-11,workday,0.07709333333333333,0.09635,3,0.03546,7,0.06089000000000001
2021-02-12,workday,0.05957375,0.07376333333333333,3,0.04692666666666666,9,0.026836666666666675
2021-02-13,weekend,0.053677916666666665,0.06375,4,0.037421428571428564,7,0.026328571428571437
2021-02-14,weekend,0.04377916666666667,0.05329199999999999,5,0.03790375,8,0.015388249999999992
2021-02-15,workday,0.05309958333333333,0.06870666666666667,3,0.045498888888888894,9,0.02320777777777777
2021-02-16,workday,0.06422291666666667,0.08702,3,0.04238875,8,0.04463125
2021-02-17,workday,0.05703333333333333,0.06686666666666667,3,0.042975,8,0.023891666666666672
2021-02-18,workday,0.05327041666666666,0.06128,3,0.03731375,8,0.02396625
2021-02-19,workday,0.05399,0.06207666666666667,3,0.03384714285714286,7,0.02822952380952381
2021-02-20,weekend,0.039406666666666666,0.05326333333333333,3,0.024935555555555555,9,0.028327777777777775
2021-02-21,weekend,0.03487375,0.04935333333333333,6,0.038919999999999996,8,0.010433333333333336
2021-02-22,workday,0.05115416666666667,0.0642275,4,0.04110285714285714,7,0.023124642857142864
2021-02-23,workday,0.04889833333333333,0.056459999999999996,5,0.03597857142857142,7,0.020481428571428574
2021-02-24,workday,0.04661958333333333,0.05714,5,0.037475,8,0.019665000000000002
2021-02-25,workday,0.047814999999999996,0.060838,5,0.04203285714285714,7,0.01880514285714286
2021-02-26,workday,0.04824041666666667,0.059136666666666664,3,0.039722499999999994,8,0.01941416666666667
2021-02-27,weekend,0.04451166666666667,0.052466,5,0.034945,6,0.017521000000000002
2021-02-28,weekend,0.04015791666666666,0.05578666666666666,6,0.0453575,8,0.010429166666666656
