EV Model,Unit Sold 2025,Matched_Models,Battery_Capacity
BMW IX1,466,"BMW iX1 eDrive20, BMW iX1 xDrive30",65.2
BYD SEAL,264,"BYD SEAL U 87 kWh Design, BYD SEAL 82.5 kWh RWD Design, BYD SEAL 82.5 kWh AWD Excellence, BYD SEAL U 71.8 kWh Comfort, BYD SEAL 61.4 kWh RWD Comfort",77.03999999999999
BYD SEALION7,251,"BYD SEALION 7 91.3 kWh AWD Excellence, BYD SEALION 7 82.5 kWh RWD Comfort, BYD SEALION 7 82.5 kWh AWD Design",85.43333333333334
BYD YUAN PLUS / ATTO-3,315,,55.2
FORD EXPLORER,236,"Ford Explorer Extended Range RWD, Ford Explorer Extended Range AWD, Ford Explorer Standard Range RWD",71.33333333333333
HYUNDAI IONIQ 5,264,"Hyundai IONIQ 5 84 kWh RWD, Hyundai IONIQ 5 84 kWh AWD, Hyundai IONIQ 5 N, Hyundai IONIQ 5 63 kWh RWD",75.0
KIA EV3,665,"Kia EV3 Long Range, Kia EV3 Standard Range",66.5
TESLA MODEL 3,536,"Tesla Model 3 Performance, Tesla Model 3 Premium RWD, Tesla Model 3 Premium AWD, Tesla Model 3 RWD",74.25
TESLA MODEL Y,1022,"Tesla Model Y Premium AWD, Tesla Model Y Premium RWD, Tesla Model Y Performance, Tesla Model Y Long Range RWD, Tesla Model Y Premium RWD, Tesla Model Y RWD",74.83333333333333
VOLVO EX30,230,"Volvo EX30 Cross Country, Volvo EX30 Single Motor ER, Volvo EX30 Twin Motor Performance, Volvo EX30 P3 Long Range, Volvo EX30 P5 Long Range, Volvo EX30 P8 AWD, Volvo EX30 Cross Country P5 Long Range, Volvo EX30 Cross Country P8 AWD, Volvo EX30 Single Motor, Volvo EX30 P3, Volvo EX30 P5",60.63636363636363
